year,reported_month,region_of_origin,region_of_incident,country_of_origin,total_dead_and_missing,migration_route,location_of_death,source,unsd_geographical_grouping,lat,lon,accident,asphyxiation_suffocation,dehydration_malnutrition,drowning,environmental_factors,lack_of_access_to_healthcare,murder_violence,sexual_abuse_rape,suicide,unknown,war_related
2014,1,Northern Africa,Europe,Sudan,1,Eastern Mediterranean,Border between Russia and Estonia,EUBusiness (Agence France-Presse),Northern Europe,59.1551,28.0,0,0,0,0,0,0,0,0,0,0,0
2014,2,South-eastern Asia,Southeast Asia,Myanmar,5,Horn Africa to Yemen,"Hat Yai hospital, 182 Ratthakan, Hat Yai, Hat Yai District, Songkhla 90110",Manager Online,South-eastern Asia,7.0167471,100.4674982,0,0,0,0,0,0,0,0,0,0,0
2014,2,Southern Asia,South Asia,Bangladesh,1,Afghanistan to Iran,India,Daily Star,Southern Asia,25.1841,89.0,0,0,0,0,0,0,0,0,0,0,0
2014,3,Southern Asia,Southeast Asia,Cambodia,5,Horn Africa to Yemen,"Bypass Road, Moo 7, Bang Phra subdistrict, Sri Racha district, Chonburi province, Thailand","Manager Online, INN News, Khomchudluek",South-eastern Asia,13.2353642,101.0,0,0,0,0,0,0,0,0,0,0,0
2014,3,Southern Asia,Southeast Asia,Myanmar,2,Horn Africa to Yemen,"Moo 13, 38th km of the 4006 Langsuan-Pato Road, Pato district, Chumphon province, Thailand","INN News, Manager Online, Daily News",South-eastern Asia,9.96833,99.0,0,0,0,0,0,0,0,0,0,0,0
2014,3,Middle Africa,Eastern Africa,Congo,251,Horn Africa to Yemen,"Lake Albert, Uganda/DRC",BBC (UNHCR),Eastern Africa,1.63236,31.0,0,0,0,0,0,0,0,0,0,0,0
2014,3,Central America,Central America,Guatemala,1,Central America to US,"Comitan, Chiapas, Mexico",El Siglo de Torreon,Central America,16.2299602,-92.0,0,0,0,0,0,0,0,0,0,0,0
2014,4,Eastern Africa,Eastern Africa,Zimbabwe,17,Comoros to Mayotte,"Limpopo River, Zimbabwe",AllAfrica,Eastern Africa,-23.8148,32.0,0,0,0,0,0,0,0,0,0,0,0
2014,4,Central America,Central America,"Honduras,Mexico",4,Central America to US,"On la Bestia, near Arriaga, Chiapas, Mexico",Soy 502,Central America,16.242196,-94.0,0,0,0,0,0,0,0,0,0,0,0
2014,4,Eastern Asia,Southeast Asia,China,5,Horn Africa to Yemen,Border China/Vietnam,New York Times,South-eastern Asia,21.5928,107.0,0,0,0,0,0,0,0,0,0,0,0
